Feature,Importance
gsc_avg_position,0.7483480903171926
gsc_sum_position,0.19890535710098162
gsc_impressions,0.04560577000281538
gsc_clicks,0.007140782579010407
gsc_data_available,0.0
client_has_gsc,0.0
client_has_ga4,0.0
ga4_data_available,0.0
ga4_pageviews,0.0
ga4_sessions,0.0
ga4_users,0.0
ga4_engaged_sessions,0.0
ga4_total_engagement_sec,0.0
sessions_organic,0.0
sessions_direct,0.0
sessions_referral,0.0
sessions_social,0.0
sessions_paid,0.0
sessions_ai,0.0
ai_chatgpt,0.0
ai_perplexity,0.0
ai_gemini,0.0
ai_copilot,0.0
ai_claude,0.0
ai_meta,0.0
ai_other,0.0
scroll_events,0.0
