Metric,Value
Accuracy,1.0
Precision,"[0.28076923 0.28185328 0.28294574 0.28015564 0.27952756 0.27777778
 0.2749004  0.27822581 0.28163265 0.27983539 0.2768595  0.27916667
 0.28389831 0.2920354  0.28888889 0.29147982 0.29279279 0.30143541
 0.30288462 0.30434783 0.30731707 0.31658291 0.32748538 0.32926829
 0.33540373 0.34415584 0.34640523 0.34306569 0.33333333 0.32758621
 0.33928571 0.38636364 0.39534884 0.3902439  0.4        0.38235294
 0.375      0.47826087 0.45       0.44444444 0.47058824 0.46666667
 0.5        0.46153846 0.5        0.6        0.66666667 0.625
 0.71428571 0.66666667 0.8        1.         1.         1.        ]"
Recall,"[1.         1.         1.         0.98630137 0.97260274 0.95890411
 0.94520548 0.94520548 0.94520548 0.93150685 0.91780822 0.91780822
 0.91780822 0.90410959 0.89041096 0.89041096 0.89041096 0.8630137
 0.8630137  0.8630137  0.8630137  0.8630137  0.76712329 0.73972603
 0.73972603 0.7260274  0.7260274  0.64383562 0.54794521 0.26027397
 0.26027397 0.23287671 0.23287671 0.21917808 0.19178082 0.17808219
 0.16438356 0.15068493 0.12328767 0.10958904 0.10958904 0.09589041
 0.09589041 0.08219178 0.08219178 0.08219178 0.08219178 0.06849315
 0.06849315 0.05479452 0.05479452 0.05479452 0.04109589 0.        ]"
F1 Score,1.0
ROC AUC,0.5912021097355504
